cohort,Rookie_Age_Bin,Season,series,value,n_players,weight_sum
All qualifying,19,2018,BRef VORP,-1.3,1,1706.0
All qualifying,19,2019,BRef VORP,0.4398663697104677,2,2245.0
All qualifying,19,2020,BRef VORP,-0.14838255977496487,2,1422.0
All qualifying,19,2021,BRef VORP,-0.049614669146957245,5,7526.0
All qualifying,19,2022,BRef VORP,0.15397250490983755,5,5601.0
All qualifying,19,2023,BRef VORP,0.454379680885705,2,3071.0
All qualifying,19,2024,BRef VORP,-0.2540495474035255,4,4198.0
All qualifying,20,1997,BRef VORP,0.3770009881422925,3,8096.0
All qualifying,20,1999,BRef VORP,0.9,1,988.0
All qualifying,20,2000,BRef VORP,0.9771978422510571,4,6859.0
All qualifying,20,2001,BRef VORP,-0.4,1,293.0
All qualifying,20,2002,BRef VORP,0.4309276800481131,5,6651.0
All qualifying,20,2003,BRef VORP,0.2199700449326011,5,8012.0
All qualifying,20,2004,BRef VORP,0.7815123752222072,4,7313.0
All qualifying,20,2005,BRef VORP,0.07858390220669947,5,6299.0
All qualifying,20,2006,BRef VORP,-0.5493991989319092,4,4494.0
All qualifying,20,2007,BRef VORP,-0.020011691348402187,4,5132.0
All qualifying,20,2008,BRef VORP,-0.12786236297198542,6,6568.0
All qualifying,20,2009,BRef VORP,0.6124616835651968,11,16964.0
All qualifying,20,2010,BRef VORP,1.0600591216216217,6,11840.0
All qualifying,20,2011,BRef VORP,0.07467362924281987,4,6894.0
All qualifying,20,2012,BRef VORP,0.4981789802289282,5,5766.0
All qualifying,20,2013,BRef VORP,0.5130650154798763,7,8075.0
All qualifying,20,2014,BRef VORP,-0.37899891186071816,2,1838.0
All qualifying,20,2015,BRef VORP,-0.4942744197908696,6,7842.0
All qualifying,20,2016,BRef VORP,0.3061932555123217,11,18504.0
All qualifying,20,2017,BRef VORP,-0.1689675286797589,6,5143.0
All qualifying,20,2018,BRef VORP,0.36272810960090973,14,18467.0
All qualifying,20,2019,BRef VORP,0.4840402320259698,10,18791.0
All qualifying,20,2020,BRef VORP,-0.26977445498523583,14,15917.0
All qualifying,20,2021,BRef VORP,-0.5542179967862881,16,14936.0
All qualifying,20,2022,BRef VORP,0.2114747451343837,15,17264.0
All qualifying,20,2023,BRef VORP,-0.5224261275272162,15,16075.0
All qualifying,20,2024,BRef VORP,0.1445963321377816,13,14777.0
All qualifying,21,1997,BRef VORP,0.2301208755308723,4,6122.0
All qualifying,21,1998,BRef VORP,0.2349673202614379,3,5508.0
All qualifying,21,1999,BRef VORP,0.7741548309661932,5,4999.0
All qualifying,21,2000,BRef VORP,1.6534621578099837,3,4968.0
All qualifying,21,2001,BRef VORP,0.1169869255150555,8,10096.0
All qualifying,21,2002,BRef VORP,1.5239788014675906,8,12265.0
All qualifying,21,2003,BRef VORP,0.21049392712550608,4,6175.0
All qualifying,21,2004,BRef VORP,0.04728479962058335,4,4217.0
All qualifying,21,2005,BRef VORP,0.8229896563229894,5,5994.0
All qualifying,21,2006,BRef VORP,2.0277718663545437,5,9398.0
All qualifying,21,2007,BRef VORP,0.15044471285824093,8,9107.0
All qualifying,21,2008,BRef VORP,-0.6959028108623154,5,6297.0
All qualifying,21,2009,BRef VORP,0.3895014319187712,10,15364.0
All qualifying,21,2010,BRef VORP,-0.1102269762588051,2,3833.0
All qualifying,21,2011,BRef VORP,0.33062607838304164,6,8114.0
